image_id,file_name,grid_row,grid_col,jumlah_sampah,kepadatan_pct,count_plastic_packaging,count_metal_glass,count_construction,count_hazardous,count_organic_mixed
23,site3_26.png,4,4,2,24.2188,0,0,0,2,0
23,site3_26.png,5,4,2,23.625,0,0,0,2,0
45,site3_56.png,6,2,2,30.625,0,0,0,2,0
67,site3_81.png,6,6,2,100.0,0,0,2,0,0
67,site3_81.png,7,3,2,100.0,0,0,2,0,0
68,site3_82.png,6,3,2,100.0,0,0,2,0,0
94,site3_112.png,1,3,2,100.0,0,0,2,0,0
94,site3_112.png,2,6,2,100.0,0,0,2,0,0
94,site3_112.png,5,1,2,100.0,0,0,2,0,0
94,site3_112.png,7,4,2,100.0,0,0,2,0,0
95,site3_113.png,2,2,2,100.0,0,0,2,0,0
95,site3_113.png,7,6,2,100.0,0,0,0,0,2
99,site3_117.png,2,5,2,100.0,0,0,2,0,0
122,site3_143.png,1,4,2,100.0,0,0,2,0,0
123,site3_144.png,0,6,2,100.0,0,0,0,0,2
181,site3_206.png,4,3,2,100.0,0,0,2,0,0
181,site3_206.png,5,3,2,100.0,0,0,0,0,2
181,site3_206.png,6,5,2,100.0,2,0,0,0,0
181,site3_206.png,7,4,2,100.0,0,0,0,0,2
209,site3_236.png,3,2,2,100.0,0,0,2,0,0
210,site3_237.png,1,2,2,60.1562,0,0,2,0,0
210,site3_237.png,1,4,2,100.0,0,0,0,0,2
210,site3_237.png,1,5,2,100.0,0,0,0,0,2
210,site3_237.png,1,6,2,100.0,0,0,0,0,2
210,site3_237.png,2,4,2,100.0,0,0,0,0,2
210,site3_237.png,6,3,2,100.0,0,0,0,0,2
238,site3_266.png,4,7,2,100.0,0,0,2,0,0
239,site3_267.png,1,7,2,37.9688,2,0,0,0,0
239,site3_267.png,3,1,2,100.0,0,0,2,0,0
239,site3_267.png,3,5,2,12.2188,2,0,0,0,0
239,site3_267.png,7,6,2,100.0,0,0,2,0,0
240,site3_268.png,1,0,2,12.3047,2,0,0,0,0
263,site3_292.png,7,2,2,100.0,0,0,0,0,2
265,site3_294.png,6,5,2,100.0,0,0,2,0,0
265,site3_294.png,7,6,2,100.0,0,0,2,0,0
269,site3_298.png,1,1,2,100.0,0,0,2,0,0
269,site3_298.png,1,6,2,100.0,0,0,2,0,0
269,site3_298.png,2,1,2,100.0,0,0,0,0,2
269,site3_298.png,4,2,2,100.0,0,0,2,0,0
269,site3_298.png,5,6,2,100.0,0,0,2,0,0
270,site3_299.png,0,0,2,100.0,0,0,2,0,0
270,site3_299.png,5,5,2,100.0,0,0,2,0,0
270,site3_299.png,7,3,2,100.0,0,0,0,0,2
290,site3_320.png,2,6,2,100.0,0,0,2,0,0
290,site3_320.png,3,4,2,100.0,0,0,2,0,0
291,site3_321.png,1,5,2,100.0,0,0,2,0,0
291,site3_321.png,2,7,2,100.0,0,0,2,0,0
291,site3_321.png,5,7,2,100.0,0,0,2,0,0
291,site3_321.png,7,2,2,100.0,0,0,2,0,0
292,site3_322.png,1,7,2,100.0,0,0,0,0,2
292,site3_322.png,2,1,2,100.0,0,0,2,0,0
292,site3_322.png,3,2,2,100.0,0,0,2,0,0
