grid_id,centroid_x,centroid_y,area_density_pct,jumlah_instance,kategori_dominan,confidence_score,processed_at,has_detection
site10_13_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site10_17_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site10_18_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site10_21_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site10_22_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site10_27_grid_0_1,439.18,193.3,11.076,1,Mixed items,0.6042,2026-05-26 01:05:43,1
site10_28_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site10_28_grid_1_1,75.76,63.85,7.9742,2,Mixed items,0.3857,2026-05-26 01:05:43,1
site10_29_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site10_2_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site10_30_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site10_9_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_105_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_107_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_107_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_108_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_109_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_109_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_110_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_111_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_113_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_115_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_116_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_118_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_122_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_124_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_125_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_128_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_128_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_129_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_130_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_140_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_142_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_144_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_144_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_145_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_146_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_147_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_147_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_149_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_14_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_151_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_153_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_154_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_155_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_156_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_157_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_157_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_157_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_15_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_162_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_163_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_164_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_165_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_16_grid_0_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_16_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_16_grid_1_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_172_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_173_grid_0_1,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
site11_173_grid_1_0,-1.0,-1.0,0.0,0,none,0.0,2026-05-26 01:05:43,0
